Context,Entity,Description,Entity Type,TS
"Stage 3"". [12] NIST, FIPS PUB 180-2: ""Secure Hash Standard (SHS)"". [13] IETF RFC 4634 (2006): US Secure Hash Algorithms (SHA and HMAC-SHA). [14] IETF RFC 2104 (1997): ""HMAC: Keyed-Hashing for Message Authentication"". [15] TCG Mobile Phone Specifications, https://www.trustedcomputinggroup.org/specs/mobilephone. [16] TCG Trusted Network Connect (TNC) Specifications, https://www.trustedcomputinggroup.org/specs/TNC. [17] IETF RFC 2616 (1999): ""Hypertext Transfer Protocol -- HTTP/1.1"". [18] Void. [19] 3GPP TS 33.310: "" Network Domain Security (NDS); Authentication Framework (AF)"".",TCG,"The Trusted Computing Group (TCG) is an organization that specifies and promotes open standards for trusted computing. These standards include secure boot, integrity measurement, and reporting.",Organization,3GPP TS 33.259
"and channel estimation algorithms. Figure A.2.1-2 shows the channel estimation error validation results in a single-user simulation case, for different channel conditions and DMRS types, where the solid curves show the statistics of collected normalized channel estimation error which is calculated is . It can be observed that the variance predicted by the error model matches well the variance of the actual estimation. Figure A.2.1-2: Channel estimation error model (TDL-C 300ns) So for PHY abstraction for realistic channel estimation, we can replace the channel by HR in Eq. (A.2.1-7), where the channel estimation error is modelled based on Eq. (A.2.1-8). Then we can use HR to calculate the weight of the linear MMSE receiver with Eq. (A.2.1-3). Finally the corresponding pp-SINR can be calculated based on Eq. (A.2.1-5), where ideal channel is still used for the target signal and the interfering signal. The HR should also be used in the interference cancellation(IC) procedure to model the",HR,HR refers to a parameter representing Hand Right (Hand Phantom Only) in the context of channel estimation error modeling for MMSE-Hard IC receiver. It is used to calculate the weight of the linear MMSE receiver and pp-SINR.,Parameter,3GPP TS 38.812
"response, the S-CSCF in the originating network sends an Charging Data Request[Start] to record SCC call routing and start of a user session/media component in the S-CSCF CDR. 10-11. The CDF from the Originating network opens a S-CSCF CDR related to the Remote leg and acknowledges the reception of the data. 12. Same as 8 but for (Remote leg) 13. Same as 9 but for the SCC AS (Remote leg) 14-15. Same as 10-11 but opening a SCC AS CDR related to the Remote leg 13-14a-15. Alternatively, when ""OneChargingSession"", the SCC AS sends an Charging Data Request[Start] to record SCC call routing and start of a user session/media components in the SCC AS CDR for the IMS session (ICID) with access leg and remote leg. The CDF opens a SCC AS CDR related to the IMS session, and acknowledges the reception of the data. 16. Same as 8 but for (Access leg) 17. Same as 9 but for the SCC AS (Access leg) . 18-19. Same as 10-11 but opening a SCC AS CDR (Access leg). Steps 17 to 19 are not applicable for the",SCC,"The Satellite Communication Customer (SCC) is a network function that plays a role in managing satellite communication services, including call routing and charging data requests. It interacts with other network functions such as the Serving and Charging Session Control Function (S-CSCF) and the Charging Data Function (CDF) to facilitate user sessions and media components.",Network Function,3GPP TS 32.260
"A RedCap UE can be identified by the network during Random Access procedure via MSG3/MSGA from a RedCap specific LCID(s) and optionally via MSG1/MSGA (PRACH occasion or PRACH preamble). An eRedCap UE can be identified by the network during Random Access procedure via MSG3/MSGA from an eRedCap specific LCID(s) and optionally via MSG1. For RedCap UE identification via MSG1/MSGA, RedCap specific Random Access configuration may be configured by the network. For eRedCap UE identification via MSG1, eRedCap specific Random Access configuration may be configured by the network. For MSG3/MSGA, an (e)RedCap UE is identified by the dedicated LCID(s) indicated for CCCH identification (CCCH or CCCH1) regardless whether (e)RedCap specific Random Access configuration is configured by the network. (e)RedCap UEs with 1 Rx branch and 2 Rx branches can be allowed separately via system information. In addition, (e)RedCap UEs in Half-Duplex FDD mode can be allowed via system information. A RedCap specific IFRI can be provided in SIB1, when absent, RedCap UEs access is not allowed. An eRedCap specific IFRI can be provided in SIB1, when absent, eRedCap UEs access is not allowed. Information on which frequencies (e)RedCap UE access is allowed can be provided in system information. An (e)RedCap UE with 1 Rx branch applies the associated offset for broadcasted cell specific RSRP thresholds for random access, SDT, cell edge condition and cell (re)selection criterion as specified in TS 38.133[ NR; Requirements for support of radio resource management ]  [13]. NOTE: It is up to the E-UTRA network, if possible, to avoid handover attempts of an (e)RedCap UE to a target NR cell not supporting (e)RedCap. It is up to the (e)RedCap UE implementation, if possible, to recover from handover attempts to a target NR cell not supporting (e)RedCap.",LCID,"The Logical Channel ID (LCID) is an identifier used in the context of RedCap and eRedCap UEs during the Random Access procedure. It helps the network identify specific types of UEs, such as those with 1 Rx branch or 2 Rx branches, operating in Half-Duplex FDD mode. The LCID is utilized in MSG3/MSGA messages for CCCH identification and may be used in conjunction with RedCap-specific Random Access configurations. It plays a crucial role in managing access restrictions and camping restrictions for these specialized UEs.",Parameter,3GPP TS 38.300
"The UE modulated carrier frequency for V2X sidelink transmissions shall be accurate to within Â±0.1 PPM observed over a period of one time slot (0.5 ms) compared to the absolute frequency in case of using GNSS synchronization source. The same requirements applied over a period of one time slot (0.5 ms) compared to the relative frequency in case of using the E-UTRA Node B or V2X UE sidelink synchronization signals. When UE is configured for simultaneous E-UTRA V2X sidelink and E-UTRA uplink transmissions for inter-band E-UTRA V2X / E-UTRA bands specified in Table 5.5G-2, the requirements in subclause 6.5.1G apply for V2X sidelink transmission and the requirements in subclause 6.5.1 apply for the E-UTRA uplink transmission. For V2X UE supporting Transmit Diversity, if the UE transmits on two antenna connectors at the same time, the UE modulated carrier frequency at each transmit antenna connector shall be accurate to within Â±0.1 PPM observed over a period of one time slot (0.5 ms) in case of using GNSS synchronization source. The same requirements applied over a period of one time slot (0.5 ms) compared to the relative frequency in case of using the E-UTRA Node B or V2X UE sidelink synchronization signals. If the UE transmits on one antenna connector at a time, the requirements for single carrier shall apply to the active antenna connector.",GNSS,"The Global Navigation Satellite System (GNSS) is a network of satellites orbiting the Earth that provide location information and timing signals to GNSS receivers on the ground. In the context of 3GPP specifications, particularly in Evolved Universal Terrestrial Radio Access (E-UTRA), GNSS is used as a synchronization source for user equipment (UE) transmissions, ensuring accurate frequency control within specified limits.",Technology,3GPP TS 36.101
IM-SSF) [56]. : native IMS application server. OSA-SCS an Open Service Access - Service Capability Server interfaces with OSA Application Servers using Parlay. IM-SSF: an IP Multimedia Service Switching Function interfaces with CAMEL Application Servers using CAP. The architecture is based on the principle that the service control for Home subscribed services for a roaming subscriber is in the Home network (e.g. the Serving-CSCF is located in the Home network). There are two possible scenarios to provide services (see figure 5.1.3.3.1.1): via the service platform in the Home Network,OSA,"The Open Service Architecture (OSA) is a standardized framework for secure third-party access to IMS services, enabling the development of value-added IP multimedia services. It provides an interface between application servers and the IMS core network, facilitating service control and interaction with various network functions.",Technology,3GPP TS 32.808
"This procedure is used in the case of home-routed roaming scenarios. Figure 4.3.4.3-1: UE or network requested PDU Session Release for home-routed roaming 1. The procedure is triggered by one of the following events: 1a. (UE initiated release) As in step 1a of clause 4.3.4.2 with the addition that: - the V-SMF initiates N4 Session Modification to instruct the V-UPF to stop forwarding uplink traffic; and - the V-SMF invokes the Nsmf_PDUSession_Update Request (SM Context ID, information from the SM message from the UE e.g. PCO, ""Trigger PDU Session Release"" indication, Timezone, User Location Information) service operation to request the H-SMF to release the PDU Session. The H-SMF responds to the request immediately. 1b. (Serving network initiated release) The serving network initiates the PDU Session Release during UE or serving network initiated Deregistration procedure as specified in clause 4.2.2.3. There is no NAS SM message between the UE and the V-SMF in this case. This step is the same as step 1c in clause 4.3.4.2, with the addition that: - the V-SMF initiates N4 Session Modification to instruct the V-UPF to stop forwarding uplink traffic; and - the V-SMF initiates the release of the PDU Session at the H-SMF by invoking the Nsmf_PDUSession_Release request. The serving network also initiates the PDU Session Release where neither N1 nor N2 SM signalling is needed before releasing the SM context as in step 1c in clause 4.3.4.2 if e.g. due to the set of network slices for a UE changes where a network slice instance is no longer available (e.g. as described in clause 5.15.5.2.2 of TS 23.501[ System architecture for the 5G System (5GS) ]  [2], or the AAA Server triggered Network Slice-Specific Re-authentication and Re-authorization procedure fails as specified in clause 4.2.9.2 or the AAA Server triggered Slice-Specific Authorization Revocation takes place as specified in clause 4.2.9.4). 1c. (HPLMN initiated release) This step is the same as step 1b in clause 4.3.4.2, with the addition that: - the H-SMF initiates N4 Session Modification to instruct the H-UPF to stop forwarding downlink traffic. 1d. This step is the same as step 1d in clause 4.3.4.2, with the addition that: - the V-SMF initiates N4 Session Modification to instruct the V-UPF to stop forwarding uplink traffic; and - the V-SMF invokes the Nsmf_PDUSession_Update Request towards H-SMF. 1e. (HPLMN initiated release) This step is the same as step 1e in clause 4.3.4.2, with the addition that: - if the H-SMF is notified by the V-SMF that the HPLMN S-NSSAI of the PDU Session with SSC mode 1 or SSC mode 2 is to be replaced with Alternative HPLMN S-NSSAI and if the H-SMF determines that a new PDU Session is to be established on the Alternative HPLMN S-NSSAI, the H-SMF initiates release of the PDU Session, as described in clause 5.15.19 of TS 23.501[ System architecture for the 5G System (5GS) ]  [2]; - the H-SMF initiates N4 Session Modification to instruct the H-UPF to stop forwarding downlink traffic. 1f. This step is the same as step 1f in clause 4.3.4.2, with the addition that: - the V-SMF initiates N4 Session Modification to instruct the V-UPF to stop forwarding uplink traffic; and - the V-SMF invokes the Nsmf_PDUSession_Update Request towards H-SMF. If the SMF receives one of the triggers in step 1a, 1c, 1e or 1f, the H-SMF starts PDU Session Release procedure. When a SMF above initiates N4 Session Modification to instruct the UPF to stop forwarding traffic this means also to stop taking into account the traffic for usage monitoring. 2a-2b. (UE-, (R)AN- or Serving network initiated) This step is performed in case the PDU Session Release is triggered by a message from V-SMF. These steps are the same as steps 2a-2b in clause 4.3.4.2. The SMF is the SMF in HPLMN. NOTE 1: This step 2a-2b can correspond to steps 1a, 1b, 1d, 1f. 3a. (UE or HPLMN initiated release) The H-SMF prepares the SM Release PDU Session Command message and initiates the PDU Session Release towards the UE by invoking the Nsmf_PDUSession_Update Request service operation towards the V-SMF. The Nsmf_PDUSession_Update Request contains necessary information to build the SM Release PDU Session Command by the V-SMF towards the UE (for example a Release Cause or PCO). For network slice replacement as in step 1e, the H-SMF includes Alternative HPLMN S-NSSAI and a cause value indicating that a new PDU Session re-establishment on the Alternative HPLMN S-NSSAI is required. 3b. (Serving network initiated release) The H-SMF responds to the PDU release request from the V-SMF with a Nsmf_PDUSession_Release response. If the UPF included Small Data Rate Control Status in step 2 then the SMF includes Small Data Rate Control Status in the request to the AMF. If the Control Plane CIoT 5GS Optimisation is enabled for this PDU Session, the steps 4a and 4b are skipped. 4a-4b. The V-SMF releases the corresponding User Plane resources. This includes the same procedure in step 2 but controlled from the SMF in VPLMN. 5-13. These steps are the same as steps 3-10 in clause 4.3.4.2, with the addition that: - In step 5c, for network slice replacement, based on information from H-SMF, the PDU Session Release Command message may include Alternative HPLMN S-NSSAI and/or Alternative VPLMN S-NSSAI and a cause value indicating that a PDU Session re-establishment on the Alternative HPLMN S-NSSAI and/or Alternative VPLMN S-NSSAI is required. 14. (UE or HPLMN initiated release) The V-SMF responds to the Nsmf_PDUSession_Update Request invoked at step 3a and confirms the PDU Session Release. The Nsmf_PDUSession_Update response may carry information such as PCO received from the UE in SM PDU Session Release Accept. as well as User Location Information, Time Zone and Secondary RAT Usage Data. 15a. (UE or HPLMN or Serving network initiated release) The H-SMF releases the SM policy control association with the PCF by invoking the SM Policy Association Termination procedure defined in clause 4.16.6. For serving network initiated PDU Session Release case, this step happens between step 1b and step 3b. 15b-15c. (HPLMN initiated release) In case the PDU Session Release is HPLMN-initiated (i.e. triggers in 1c, 1e), the H-SMF releases the corresponding User Plane resources. This includes the same procedure as in step 2. 15d. As in step 15 of clause 4.3.4.2, the SMF invokes the Nudm_UECM_Deregistration service operation. NOTE 2: Step 15d does not necessarily take place after step 15c. 16. (UE or HPLMN initiated release) The H-SMF shall remove all contexts associated with the PDU Session: 16a. The H-SMF requests the V-SMF to release all contexts associated with the PDU Session by invoking the Nsmf_PDUSession_StatusNotify (Release) operation. 16b. The V-SMF requests the AMF to release all contexts associated with the PDU Session by invoking the Nsmf_PDUSession_SMContexStatusNotify (Release). The AMF releases the association between the SMF ID and the PDU Session ID.",V-SMF,UE or network requested PDU Session Release for Home-routed Roaming,Procedure,3GPP TS 23.502
"- Minor group of users are subscribed to Multimedia Telephony Service (TS 22.173 [108]) and additionally to Enterprise Billing Service (EBS). - EBS Service enables: - Charging of session and service to 3rd party (TS 22.115 [102]) - Both MMTel AS and EBS AS provide accounting-relevant information. For this scenario, the Application Servers Information stored in the S-CSCF CDR is sufficient for the BD to know that there is a CDR required from the MMTel server and EBS Server and that BD could be aware that both the MMTel server and EBS server only host one service that can be executed to ensure that it has all the necessary CDRs. Figure 5.3.1 The fields used for correlation may be: Application Servers Information and IMS Charging Identifier (ICID) are normally sufficient to identify the all CDR for a single SIP Session. Same belongs to MMTEL AS and EBS AS acting as B2BUA when the OneChargingSession option applies. It may be that AS acting as B2BUA changes the ICID depending on the service",EBS,"Enterprise Billing Service (EBS) is a telecommunications offering that enables charging of sessions and services to third-party entities, providing accounting-relevant information for billing purposes.",Service,3GPP TS 32.850
"all RBs of the MBS frequency resource, and if the UE is provided searchSpaceMCCH or searchSpaceMTCH for Type0B-PDCCH CSS set on the primary cell or for Type3-PDCCH CSS set on a secondary cell, the UE monitors PDCCH for detection of broadcast DCI formats, as described in clause 18, on the active DL BWP. For a DL BWP, if a UE is not provided searchSpaceOtherSystemInformation for Type0A-PDCCH CSS set, the UE does not monitor PDCCH for Type0A-PDCCH CSS set on the DL BWP. The CCE aggregation levels and the number of PDCCH candidates per CCE aggregation level for Type0A-PDCCH CSS set are given in Table 10.1-1. For a DL BWP, if a UE is not provided ra-SearchSpace for Type1-PDCCH CSS set, the UE does not monitor PDCCH for Type1-PDCCH CSS set on the DL BWP. If the UE has not been provided a Type3-PDCCH CSS set, or a Type1A-PDCCH CSS set, or a USS set and the UE has received a C-RNTI and has been provided a Type1-PDCCH CSS set, the UE monitors PDCCH candidates for DCI format 0_0 and DCI format",CSS,CSS (Client Security Service) is a parameter related to the configuration of physical downlink control channel assignment in the context of 5G networks. It is used to determine the search space for PDCCH (Physical Downlink Control Channel) monitoring by the UE (User Equipment). The CSS set is provided to the UE through higher layer signaling and affects how the UE monitors PDCCH candidates on the downlink bandwidth part (DL BWP).,Parameter,3GPP TS 38.213
"System Information between BSSs, so that NACC can work across BSS boundaries. Currently, there are procedures defined on the Gb and Gn interfaces to enable signalling of GERAN SI/PSI between BSSs. This RAN Information Management (RIM) mechanism was defined initially for the use of NACC, although in a manner that could be extended for applications other than NACC. It consists of the following messages: - RAN INFORMATION REQUEST - from Source BSS to Target BSS â requests GERAN SI/PSI. - RAN INFORMATION â from target BSS to source BSS â analogous to the Information Exchange over Iur and includes GERAN SI/PSI for one or more GERAN cells. - RAN INFORMATION ACKNOWLEDGE â from Source BSS to Target BSS. - RAN INFORMATION ERROR - to inform about e.g. message syntax errors. In Release 5, TSG RAN approved the provision of the GERAN (P)SI messages in the CELL CHANGE ORDER FROM UTRAN message. In order for this feature to work successfully, a standardised method is required to signal relevant GERAN",ETWS,"The Earthquake and Tsunami Warning System (ETWS) is a service provided by the network to user equipment (UE) in limited service mode. It allows for the reception of emergency alerts and notifications related to earthquakes and tsunamis, along with other services such as emergency calls and Commercial Mobile Alert Service (CMAS). The ETWS is supported on acceptable cells that meet specific requirements, enabling UEs to camp on these cells and receive critical warnings.",Service,TS 25.304
"Figure 4.15.6.7.3-1 shows procedure for service specific parameter provisioning by the AF to VPLMN. Figure 4.15.6.7.3-1: Service specific information provisioning by AF to VPLMN 0a. Same as in step 0a of Figure 4.15.6.7.2-1. 0b-0c. The V-PCF may request to V-UDR on changes in UE policy information and H-PCF may subscribe to H-UDR. 1-2. Steps 1-2 of Figure 4.15.6.7.2-1 apply with the following differences: - The AF and NEF belong to the VPLMN. The AF may belong to third party with agreement with VPLMN. - When the AF provides application guidance on URSP Rule determination to the VPLMN, it will target ""PLMN ID(s) of inbound roamers"". The NEF in the VPLMN rejects any request for a GPSI or an External-Group-ID of a different PLMN. 3-5. Steps 3-5 of Figure 4.15.6.7.2-1 apply with the following differences: - AF, NEF and UDR belong to VPLMN. The AF may belong to third party with agreement with VPLMN. - The UDR in the VPLMN notifies the V-PCF(s) that have subscribed to the reception of application guidance on URSP determination. - In step 5, the V-PCF receives updates on application guidance on URSP determination for the PLMN ID of a SUPI that has a UE Policy Association established. The PLMN ID of the SUPI is included in the target ""PLMN ID(s) of inbound roamers"" in step 2. In this case, the V-PCF checks whether application guidance on URSP determination applies for the SUPI as specified in clause 6.1.2.2.4 of TS 23.503[ Policy and charging control framework for the 5G System (5GS); Stage 2 ]  [20]. 5a. The V-PCF sends the Service Parameters including the mapped HPLMN S-NSSAI values to the H-PCF and subscribes to the result of the delivery of UE Policies if the delivery result was requested by the AF, using the event reporting on ""Notification on outcome of UE Policies delivery"" described in clause 6.1.3.18 of TS 23.503[ Policy and charging control framework for the 5G System (5GS); Stage 2 ]  [20]. NOTE: The AMF determines whether LBO is allowed and performs SMF selection to select the SMF in VPLMN for LBO case as described in clause 6.3.2 of TS 23.501[ System architecture for the 5G System (5GS) ]  [2]. The H-PCF requests V-PCF to notify the result of UE policy delivery to the UE. 6. The H-PCF generates new or updated URSP Rules considering the Service Parameters received from the V-PCF in step 5a as specified in clause 6.1.2.2.4 of TS 23.503[ Policy and charging control framework for the 5G System (5GS); Stage 2 ]  [20]. 7-8. Steps 7-8 of Figure 4.15.6.7.2-1 apply with the following differences: - Notification is sent from V-PCF to the AF belonging to the VPLMN or third party with agreement with VPLMN.",LBO,"Local Breakout (LBO) refers to a technology feature in the 5G system architecture that allows for the breakout of local traffic at the edge of the network, closer to the user. This is achieved through the selection of a Session Management Function (SMF) in the Visited Public Land Mobile Network (VPLMN) by the Access and Mobility Management Function (AMF), as described in clause 6.3.2 of TS 23.501. LBO enables more efficient handling of local traffic, reducing latency and improving overall network performance.",Technology,3GPP TS 23.502
scenario with UE registered to the same VPLMN for 3GPP access and non-3GPP access. - The SMF in HPLMN shall support charging for MA PDU Connectivity Service in roaming Home Routed scenario with UE registered in different PLMNs. - The SMF shall support the charging of redundant transmission for high reliability communication. - The SMF shall support the charging of 5G LAN VN group communication. - The SMF shall support the charging of 5GS CIoT. - The SMF may support the charging of time sensitive communication traffic. - The SMF may support the IMS data channel volume-based charging. - - The SMF may support PDU session charging of 5G multicast services. - The SMF may support the charging of 5GS satellite backhaul. - The SMF may support the converged charging for NPN. - - The SMF may support the charging of 5GS satellite access.,SMF,"The Session Management Function (SMF) is a network function in the 5G core network responsible for managing PDU sessions, including session establishment, modification, and termination. It also handles charging and billing for various services such as MA PDU Connectivity Service, redundant transmission, 5G LAN VN group communication, 5GS CIoT, time-sensitive communication traffic, IMS data channel volume-based charging, 5G multicast services, and 5GS satellite backhaul.",Network Function,3GPP TS 32.255
"TS 33.501 [9] defines the ability to prevent the SUPI being exposed over the 5G RAN through the use of SUCI. Where SUPI privacy is implemented by both the UDM and UE, the SUPI is not sent in the clear over the RAN. Therefore, AMF has to rely on the UDM to provide the SUPI as part of the registration procedure as defined in TS 33.501 [9]. If the AMF receives a SUCI from the UE then the AMF shall ensure for every registration (including re-registration) that SUPI has been provided by the UDM to the AMF and that the SUCI to SUPI mapping has been verified as defined in TS 33.501 [9]. This shall be performed regardless of whether the SUPI is a target of interception. The AMF IRI-POI shall provide both the SUPI and the current SUCI in all applicable events defined in clause 6.2.2.4.",SUPI,"The Subscription Permanent Identifier (SUPI) is a critical network attribute used for identifying subscribers within the 5G core network, ensuring their privacy and security during registration procedures.",Parameter,3GPP TS 33.127
"MGRP max is the maximum MGRP across all configured per-UE measurement gap. Otherwise, MGRP max is the MGRP of configured measurement gap. - Starting from the beginning of any SMTC occasion: - Ntotal_SAN is the total number of SMTC occasions within the window, including those overlapped and non-overlapped with measurement gap occasions within the window, and - Navailable_SAN is the number of SMTC occasions within the window W that donât collide with any non-dropped MG occasion within or outside the window W, after accounting for measurement gap collisions by applying the measurement gap collision rule in section 9.1C.8.3. The collision rule between SMTC occasion and measurement gap occasion is defined in section 9.1C.9.1 Kp = [1] when Navailable_SAN = 0 and measurement gap sharing in clause 9.1.2.1a shall apply. Kp = 1 when intra-frequency SMTC is fully non overlapping with measurement gaps. For calculation of Kp, if the high layer signalling (TS 38.331 [2]) of smtc2 is configured, for",MGRP,The Measurement Gap Repetition Period (MGRP) is a parameter used in 3GPP TS 38.133 for intra-frequency cell identification and measurement gap configuration. It represents the maximum MGRP across all configured per-UE measurement gaps or the MGRP of a configured measurement gap.,Parameter,3GPP TS 38.133
"SAR limits The ACA adopted a new RF regulation framework in February 1999. Mobile terminals have to comply with the SAR limits from the interim Australian standard AS/NZS 2772.1-1998 [9]. The SAR limits are the same as the IEEE limits adopted by the FCC in USA; i.e. the localized SAR limit for the head and trunk is 1.6 W/kg (1g). SAR testing is required for mobile telephones. Australia is considering adopting the international ICNIRP RF exposure limits. However, no final decision has yet been taken. SAR test procedures The ACA has published an interim SAR test standard, which is partly based on an IEC SAR test draft and on the FCC interim SAR test standard mentioned above. When an international standard is available, this will replace the current interim standard. Level of SAR test regulation SAR testing is mandatory for mobile telephones in Australia.",ACA,The Australian Communications Authority (ACA) is a regulatory body responsible for overseeing telecommunications in Australia. Its responsibilities include setting standards and guidelines for radiofrequency exposure limits and SAR testing procedures.,Organization,3GPP TS 34.925
"The requirements are specified in Table 8.2.2.2.7-2, with the addition of parameters in Table 8.2.2.2.7-1 and the downlink physical channel setup according to Annex C.3.2. The purpose is to verify the performance of transmit diversity (SFBC) with 2 transmit antennas when the PDSCH transmission in the serving cell is interfered by PDSCH of two interfering cells applying transmission mode 9 interference model defined in clause B.6.4. In Table 8.2.2.2.7-1, Cell 1 is the serving cell, and Cell 2, 3 are interfering cells. The downlink physical channel setup is according to Annex C.3.2 for each of Cell 1, Cell 2 and Cell 3, respectively. Table 8.2.2.2.7-1: Test Parameters for Transmit Diversity Performance (FRC) with TM9 interference model Table 8.2.2.2.7-2: Minimum Performance for Enhanced Performance Requirement Type B, Transmit Diversity (FRC) with TM9 interference model",PDSCH,"The Physical Downlink Shared Channel (PDSCH) is a downlink physical channel in the LTE and 5G networks responsible for transmitting shared data to multiple user equipment. It plays a crucial role in managing the interference between cells, especially when transmission modes like TM9 are applied. The performance of PDSCH under various conditions, such as transmit diversity with two transmit antennas and interference from neighboring cells, is a key aspect of network optimization.",Connection,3GPP TS 36.101
"the reference scheme without interference cell CRS handling and the CRS-RM schemes. Three different CRS-RM schemes, including CRS-RM for 1 interference cell always with the strongest interference, CRS-RM for 1 interference cell not always with the strongest interference (optional), and CRS-RM for 2 strongest interference cells, are evaluated. For CRS-IM schemes, interference cell CRS-IM is used together with MMSE-IRC receiver, and CRS-IC and LLR weighting are considered as two different implementations of CRS-IM. PDSCH link-level simulations are performed to evaluate the performance gain of CRS-RM and CRS-IM schemes over the reference scheme without interference cell CRS handling. 8 simulation cases with different network scenarios, Rx antenna numbers and MCS levels are included, and 7 CRS interference handling schemes in addition to the reference scheme are evaluated for each simulation case. RAN4 initial observations from link-level evaluation results for 15 kHz SCS and synchronous",CRS-RM,CRS-RM (CRS rate matching) is a technique used in LTE and NR networks to mitigate interference caused by overlapping spectrum. It involves adjusting the transmission rates of control signals to minimize interference between cells.,Technology,3GPP TS 38.833
"Figure 5.2.1.4-1: Test model for NR/5GC Layer3 supplementary uplink testing The NR/5GC Layer3 supplementary uplink test model builds on top of the NR/5GC Layer3 test model, with the differences specified hereafter. In the SS side: - The NR cell is configured with one uplink (NUL) carrier and one supplementary uplink (SUL) carrier. See NOTE 1. - The SUL routing information shall be provided by SS in the common part of the indication ASP when the data is received from the SUL carrier. - The SS shall monitor both NUL carrier and SUL carrier for PRACH reception. TTCN checks whether RA Msg1 and RA Msg3 are received from NUL or SUL carrier using the SUL routing information in the indication ASP. - The UL grants are configured from TTCN over the system control port for PUSCH transmission on the NUL carrier or the SUL carrier. NOTE 1: While TS 38.508-1 [5] defines an SUL carrier as a pseudo-standalone NR Cell 33, in the present test model, the SUL carrier is an additional carrier to the NR",NUL,"Normal Uplink (NUL) refers to a standard uplink connection or carrier in the context of 5G New Radio (NR) and 5G Core Network (5GC). It is used for transmitting data from the user equipment (UE) to the network, contrasting with supplementary uplinks which provide additional capacity.",Connection,3GPP TS 38.523
"In MR-DC, the UE has a single RRC state, based on the MN RRC and a single C-plane connection towards the Core Network. Figure 4.2.1-1 illustrates the Control plane architecture for MR-DC. Each radio node has its own RRC entity (E-UTRA version if the node is an eNB or NR version if the node is a gNB) which can generate RRC PDUs to be sent to the UE. RRC PDUs generated by the SN can be transported via the MN to the UE. The MN always sends the initial SN RRC configuration via MCG SRB (SRB1), but subsequent reconfigurations may be transported via MN or SN. When transporting RRC PDU from the SN, the MN does not modify the UE configuration provided by the SN. In E-UTRA connected to EPC, at initial connection establishment SRB1 uses E-UTRA PDCP. If the UE supports EN-DC, regardless whether EN-DC is configured or not, after initial connection establishment, MCG SRBs (SRB1 and SRB2) can be configured by the network to use either E-UTRA PDCP or NR PDCP (either SRB1 and SRB2 are both configured with E-UTRA PDCP, or they are both configured with NR PDCP). Change from E-UTRA PDCP to NR PDCP (or vice-versa) is supported via a handover procedure (reconfiguration with mobility) or, for the initial change of SRB1 from E-UTRA PDCP to NR PDCP, with a reconfiguration without mobility before the initial security activation. If the SN is a gNB (i.e. for EN-DC, NGEN-DC and NR-DC), the UE can be configured to establish a SRB with the SN (SRB3) to enable RRC PDUs for the SN to be sent directly between the UE and the SN. RRC PDUs for the SN can only be transported directly to the UE for SN RRC reconfiguration not requiring any coordination with the MN. Measurement reporting for mobility within the SN can be done directly from the UE to the SN if SRB3 is configured. In NR-DC, the UE can be configured to establish a SRB with the SN (SRB5) to enable RRC messages which include application layer measurement report information to be sent directly between the UE and the SN. The application measurement report can be sent directly from the UE to the SN if SRB5 is configured and indicated by the network for the application measurement reporting. Split SRB is supported for all MR-DC options, allowing duplication of RRC PDUs generated by the MN, via the direct path and via the SN. Split SRB uses NR PDCP. This version of the specification does not support the duplication of RRC PDUs generated by the SN via the MN and SN paths. In EN-DC, the SCG configuration is kept in the UE during suspension. During connection resumption, if the UE supports resuming with EN-DC, the UE can be configured to release, restore, or reconfigure the SCG configuration. Otherwise, the UE releases the SCG configuration (but not the radio bearer configuration) during resumption initiation. In MR-DC with 5GC, the UE stores the PDCP/SDAP configuration and the SCG configuration when moving to RRC Inactive. During connection resumption, if the UE supports resuming with MR-DC, the UE can be configured to release, restore, or reconfigure the SCG configuration. Otherwise, it releases the SCG configuration. Figure 4.2.1-1: Control plane architecture for EN-DC (left) and MR-DC with 5GC (right).",SRB,"The Signaling Radio Bearer (SRB) is a logical channel used in the control plane of the Evolved Universal Terrestrial Radio Access Network (E-UTRAN) and New Radio (NR) to transport Radio Resource Control (RRC) protocol data units (PDUs) between the User Equipment (UE) and the network. It plays a crucial role in managing radio resources, mobility, and connection establishment. SRBs can be configured to use either E-UTRA PDCP or NR PDCP, and multiple SRBs can be established for different purposes, such as SRB1 for initial RRC configuration and SRB3 for direct communication between the UE and the Secondary Node (SN).",Connection,3GPP TS 37.340
